,UNICAST (2048),UNICAST (34525),UNICAST (2054),BROADCAST (2048),UNICAST (35130),UNICAST (35020),BROADCAST (2054)
2021-05-07 20:56:35.863362,4.0,68.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.863954,4.0,69.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.864593,4.0,70.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.865171,4.0,71.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.865741,4.0,72.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.866299,4.0,73.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.866993,4.0,74.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.867733,4.0,75.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.868283,4.0,76.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.868747,4.0,77.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.869076,4.0,78.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.869383,4.0,79.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.869676,4.0,80.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.869971,4.0,81.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.870321,4.0,82.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.870859,4.0,83.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.871508,4.0,84.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.871936,4.0,85.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.872269,4.0,86.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.872582,4.0,87.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.872878,4.0,88.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.873175,4.0,89.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.873466,4.0,90.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.873755,4.0,91.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.874049,4.0,92.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.874396,4.0,93.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.874816,4.0,94.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.875282,4.0,95.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.875752,4.0,96.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.876230,4.0,97.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.876622,4.0,98.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.876976,4.0,99.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.877454,4.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.877778,4.0,101.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.878075,4.0,102.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.878388,4.0,103.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.878685,4.0,104.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.878990,4.0,105.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:35.879272,4.0,106.0,0.0,0.0,0.0,0.0,0.0
